source,target,importance
USP36,DHX33,0.9734956622123718
PDCD2,DHX33,0.966377854347229
EXOSC10,DHX33,0.9621840119361877
HOXA3,DHX33,0.959041953086853
NOB1,DHX33,0.9558752775192261
GNPAT,DHX33,0.9508523941040039
LPIN1,DHX33,0.9483070969581604
ARL6IP6,DHX33,0.9455189108848572
SRA1,DHX33,0.9452452063560486
DDX49,DHX33,0.941040575504303
PARN,DHX33,0.9394648671150208
GALNT6,DHX33,0.9392120838165283
GPALPP1,DHX33,0.9349077939987183
ZNHIT3,DHX33,0.9312718510627747
ABT1,DHX33,0.9309868216514587
RRP9,DHX33,0.9291584491729736
CCDC59,DHX33,0.9249190092086792
TBX10,DHX33,0.9195959568023682
TNFSF10,DHX33,0.9195905923843384
GFOD2,DHX33,0.9192926287651062
PSMD6,HIKESHI,0.6528143882751465
TAF1,HIKESHI,0.6517963409423828
TAF12,HIKESHI,0.6514608860015869
TAF2,HIKESHI,0.6496313214302063
CMTR1,HIKESHI,0.6458691954612732
DROSHA,HIKESHI,0.6447004675865173
PSMD12,HIKESHI,0.6435364484786987
TAF8,HIKESHI,0.6428706645965576
FAM102B,HIKESHI,0.6419649124145508
FUNDC2,HIKESHI,0.6395702362060547
DDB1,HIKESHI,0.6354786157608032
CCDC130,HIKESHI,0.6354303359985352
PSMD11,HIKESHI,0.6351011991500854
NOL7,HIKESHI,0.6348158121109009
TAF5,HIKESHI,0.6329216957092285
LDB1,HIKESHI,0.6324166059494019
USP5,HIKESHI,0.632396399974823
PSMC2,HIKESHI,0.632047176361084
PSME1,HIKESHI,0.631828784942627
NCBP1,HIKESHI,0.6316993236541748
UPF1,UPF2,0.8683582544326782
CNOT11,UPF2,0.699776828289032
COMTD1,UPF2,0.6841210126876831
CTU2,UPF2,0.6718987226486206
SLC30A9,UPF2,0.6593761444091797
CCDC9,UPF2,0.6507591009140015
MIPEP,UPF2,0.6406471729278564
SMG8,UPF2,0.6354756355285645
SLC39A6,UPF2,0.6309134364128113
LENG8,UPF2,0.6183602809906006
YEATS4,UPF2,0.6157728433609009
ELP3,UPF2,0.614303708076477
PARP1,UPF2,0.6137535572052002
SUV39H1,UPF2,0.613706111907959
SKA3,UPF2,0.6077799201011658
ELOF1,UPF2,0.5929867029190063
C14orf178,UPF2,0.5926217436790466
RAP1A,UPF2,0.5652859210968018
RANGAP1,UPF2,0.5650926828384399
MTIF2,UPF2,0.5621200799942017
COPS3,GPS1,0.9906361103057861
COPS4,GPS1,0.9889528751373291
COPS6,GPS1,0.9880577325820923
COPS8,GPS1,0.9868111610412598
COPS2,GPS1,0.9828387498855591
COPS5,GPS1,0.9769368767738342
ZNF207,GPS1,0.9633662104606628
QARS,GPS1,0.960885763168335
STT3B,GPS1,0.9589627981185913
EIF2B4,GPS1,0.9572086930274963
BUB3,GPS1,0.9563962817192078
ROMO1,GPS1,0.9556235671043396
PHB2,GPS1,0.9554973244667053
SNRPG,GPS1,0.9548652768135071
MAD2L1,GPS1,0.9522266387939453
WBP11,GPS1,0.9517615437507629
DOHH,GPS1,0.9517029523849487
EIF2B5,GPS1,0.9514244198799133
SNRPC,GPS1,0.951305627822876
INTS4,GPS1,0.9511057734489441
MTIF2,MARS2,0.9310146570205688
MRPL39,MARS2,0.9151785969734192
MRPL17,MARS2,0.8986456990242004
MRPL19,MARS2,0.8972035646438599
MRPL11,MARS2,0.8884589076042175
MRPL50,MARS2,0.886968195438385
MRPL24,MARS2,0.8862853050231934
MRPL55,MARS2,0.8841851353645325
HMGB3,MARS2,0.8832514882087708
PTCD1,MARS2,0.8780900835990906
MRPS30,MARS2,0.8773255944252014
NGRN,MARS2,0.8755305409431458
MRPL52,MARS2,0.8748596906661987
MRPL51,MARS2,0.8727660179138184
MRPL42,MARS2,0.8694190979003906
MRPL32,MARS2,0.8678292036056519
MRPL10,MARS2,0.8655927181243896
MRPL36,MARS2,0.8645322918891907
GFM1,MARS2,0.8640732765197754
MRPL3,MARS2,0.8610129356384277
INO80,INO80B,0.9793146252632141
ACTR8,INO80B,0.9733027219772339
NFRKB,INO80B,0.9674054384231567
ZBTB17,INO80B,0.9507179260253906
SRSF11,INO80B,0.93843674659729
SYMPK,INO80B,0.9383477568626404
PRPF39,INO80B,0.9364892244338989
CRLF3,INO80B,0.9344196915626526
SUPT5H,INO80B,0.9331543445587158
INTS9,INO80B,0.9325624108314514
CENPC,INO80B,0.9320756196975708
PAPOLA,INO80B,0.9319012761116028
MED9,INO80B,0.9305875897407532
MED22,INO80B,0.9301838874816895
RSRC2,INO80B,0.9299805164337158
HMBOX1,INO80B,0.9298181533813477
MED30,INO80B,0.9294905662536621
CCNF,INO80B,0.9292835593223572
MED12,INO80B,0.9290918111801147
RAB5IF,INO80B,0.9290534257888794
NDUFAF8,CMTR1,0.9672228097915649
ZNF706,CMTR1,0.9660472273826599
EXOSC6,CMTR1,0.9652190804481506
UTP18,CMTR1,0.9649434089660645
DPF2,CMTR1,0.963467538356781
RPS29,CMTR1,0.9634609222412109
EXOSC3,CMTR1,0.9634261727333069
RPS27,CMTR1,0.9633747935295105
MBNL1,CMTR1,0.9632643461227417
WNK1,CMTR1,0.962601900100708
MED13L,CMTR1,0.9625940322875977
CCNJ,CMTR1,0.9625265598297119
NSD1,CMTR1,0.9617279767990112
S100A1,CMTR1,0.9617232084274292
POLR2H,CMTR1,0.9616159200668335
MED19,CMTR1,0.9611957669258118
TSR1,CMTR1,0.9610354900360107
ZBTB17,CMTR1,0.9598711729049683
MED16,CMTR1,0.9596412181854248
MED7,CMTR1,0.9594594240188599
MRPL50,MRPL52,0.9769696593284607
MRPL24,MRPL52,0.9637593626976013
MRPL55,MRPL52,0.9572399258613586
MRPL41,MRPL52,0.9548318386077881
MRPL18,MRPL52,0.9503278732299805
MRPL19,MRPL52,0.9485008716583252
MRPL36,MRPL52,0.9451410174369812
MRPL14,MRPL52,0.9422304630279541
MRPL39,MRPL52,0.9411185383796692
MRPL32,MRPL52,0.9400674700737
NGRN,MRPL52,0.9399550557136536
MRPL16,MRPL52,0.9395752549171448
MRPL17,MRPL52,0.9394605159759521
MRPL44,MRPL52,0.9393686056137085
MRPL28,MRPL52,0.9387434124946594
HMGB3,MRPL52,0.9375685453414917
MRPL51,MRPL52,0.9371311664581299
MRPL11,MRPL52,0.9305513501167297
MRPL27,MRPL52,0.9301779270172119
MRPL42,MRPL52,0.9291313290596008
GLRX3,CUL3,0.8542620539665222
KEAP1,CUL3,0.8491438627243042
METTL21A,CUL3,0.8169436454772949
NELFE,CUL3,0.8102577924728394
PTEN,CUL3,0.8023035526275635
NELFA,CUL3,0.7972908020019531
CIAPIN1,CUL3,0.7942512631416321
DAXX,CUL3,0.7924573421478271
NAE1,CUL3,0.7898153066635132
TPR,CUL3,0.7855881452560425
PTGR2,CUL3,0.783931314945221
NELFB,CUL3,0.7807456254959106
PAICS,CUL3,0.7796146869659424
MBD5,CUL3,0.7757854461669922
MED14,CUL3,0.7751080393791199
MED8,CUL3,0.7740964889526367
PDLIM5,CUL3,0.7711429595947266
UBA3,CUL3,0.7698423862457275
ZMAT5,CUL3,0.7692533731460571
UMPS,CUL3,0.7685419321060181
PSMA3,REST,0.9500306844711304
PSMD2,REST,0.9449840784072876
PSMC4,REST,0.9438233375549316
INTS2,REST,0.9404612183570862
PSMC1,REST,0.9402458071708679
RPL12,REST,0.9399819374084473
PSMD6,REST,0.9398057460784912
PSMD7,REST,0.9392404556274414
BDP1,REST,0.9391125440597534
BUB1,REST,0.9386031627655029
PSMC2,REST,0.9374871253967285
DYNC1H1,REST,0.9367685317993164
RPS17,REST,0.9367043972015381
HBS1L,REST,0.936105489730835
RPL15,REST,0.9357345104217529
INTS5,REST,0.9355953335762024
PPP2CA,REST,0.9354127049446106
INTS7,REST,0.935204267501831
RPS29,REST,0.9348955154418945
SMC1A,REST,0.9347296357154846
CNOT4,UBA5,0.7830154895782471
SRRM1,UBA5,0.7794614434242249
CLASRP,UBA5,0.7680972218513489
POLG2,UBA5,0.759093165397644
SH3GLB2,UBA5,0.7590862512588501
OPA1,UBA5,0.7582672834396362
CWC15,UBA5,0.7581557035446167
TFAM,UBA5,0.7578852772712708
VPS13D,UBA5,0.7551757097244263
SNRPA,UBA5,0.7514374852180481
POLRMT,UBA5,0.7481702566146851
LRPPRC,UBA5,0.7471339702606201
DMXL1,UBA5,0.7455384135246277
MTPAP,UBA5,0.7452996373176575
TEFM,UBA5,0.7390483021736145
DDX41,UBA5,0.7386914491653442
HNRNPU,UBA5,0.7382975220680237
ING5,UBA5,0.7377129793167114
CD99,UBA5,0.7358712553977966
KLHL17,UBA5,0.735264778137207
DDX39B,THOC7,0.9078397154808044
TPR,THOC7,0.9008649587631226
